time,open,high,low,close
1764866700,6852.75,6868.75,6852.75,6867.25
1764867600,6867,6868.75,6856.5,6864.25
1764868500,6864.25,6866.25,6861.25,6863.25
1764869400,6863.5,6866.75,6859,6864.75
1764870300,6865,6868,6863.5,6866
1764871200,6866,6867.25,6857.75,6863.5
1764872100,6863.5,6871,6862.75,6870
1764873000,6869.75,6870.75,6862.25,6864.25
1764873900,6864.25,6866.75,6863.25,6864.25
1764874800,6864.25,6865.5,6857,6859.5
1764875700,6859.5,6859.5,6836.25,6844.75
1764876600,6845,6862.75,6842.75,6857
1764877500,6857.25,6861.25,6853.5,6855.5
1764878400,6855.25,6857.5,6846,6855.75
1764879300,6855.75,6856.5,6850.5,6850.5
1764880200,6850.5,6856,6850,6852.25
1764881100,6852.5,6869,6850.5,6867.5
1764882000,6867.25,6868.5,6864,6865.75
1764882900,6865.75,6868.25,6865.5,6867.5
1764883800,6867.25,6867.75,6866.25,6867
1764884700,6867,6867,6865,6865.75
1764889200,6865.5,6869.5,6865,6865.75
1764890100,6865.75,6866.75,6864.5,6865.75
1764891000,6866,6866.25,6862.5,6863
1764891900,6863,6865.25,6861.25,6863.75
1764892800,6863.5,6865,6862,6863.25
1764893700,6863.25,6869.25,6863.25,6868.25
1764894600,6868,6871.5,6866.75,6870
1764895500,6870,6871,6868.5,6870.75
1764896400,6871,6874,6870,6872.25
1764897300,6872.5,6873.75,6871.5,6872.75
1764898200,6872.5,6875.25,6872.25,6874.5
1764899100,6874.25,6875.75,6874,6875.5
1764900000,6875.5,6876.75,6874.5,6876.5
1764900900,6876.75,6881.25,6875.75,6880.5
1764901800,6880.5,6880.75,6876.75,6877
1764902700,6877.25,6877.75,6874.5,6876.25
1764903600,6876.25,6877.25,6875,6875.75
1764904500,6875.75,6878,6875.75,6876.5
1764905400,6876.75,6877.5,6874.75,6876.5
1764906300,6876.5,6879.25,6876.25,6878
1764907200,6878,6881,6877.5,6880.25
1764908100,6880.25,6880.25,6877.75,6879.5
1764909000,6879.5,6880.25,6878.25,6878.25
1764909900,6878.25,6880.5,6878,6880
1764910800,6880,6881.5,6879.75,6880.5
1764911700,6880.5,6881.25,6879.5,6880
1764912600,6880,6881.25,6879.25,6881
1764913500,6881,6882,6880.25,6882
1764914400,6882,6883.75,6881.5,6882.5
1764915300,6882.75,6884,6881,6881.25
1764916200,6881.5,6882.5,6879.25,6881.5
1764917100,6881.25,6882,6879.75,6880.5
1764918000,6880.75,6883.75,6879.5,6881.25
1764918900,6881,6883.25,6880.25,6883
1764919800,6883,6884,6881.25,6881.5
1764920700,6881.5,6882.75,6880.5,6881.75
1764921600,6882,6884.5,6880.75,6883.5
1764922500,6883.25,6886.25,6880.5,6881.75
1764923400,6881.75,6883.5,6880.75,6882.5
1764924300,6882.5,6883,6878.5,6878.5
1764925200,6878.5,6881,6877.5,6878.5
1764926100,6878.25,6881.25,6877.75,6881
1764927000,6881,6881,6876.5,6877.5
1764927900,6877.5,6879,6877.5,6878.5
1764928800,6878.75,6881.5,6877.5,6879.5
1764929700,6879.75,6880.5,6878.5,6879.5
1764930600,6879.5,6880.75,6878.75,6880.5
1764931500,6880.25,6880.25,6877.25,6877.75
1764932400,6877.75,6880.5,6876,6879
1764933300,6879,6881.25,6877.25,6880.5
1764934200,6880.75,6882,6879.5,6880.5
1764935100,6880.25,6880.5,6879.75,6880.25
1764936000,6880.25,6882.25,6879.75,6880.5
1764936900,6880.25,6881,6876,6879.25
1764937800,6879.25,6880.75,6878.75,6878.75
1764938700,6879,6879.75,6877.25,6879.25
1764939600,6879.25,6880.75,6879,6879.25
1764940500,6879.25,6879.75,6875,6876.25
1764941400,6876.25,6877,6861.5,6863.5
1764942300,6863.25,6865.5,6856.75,6864
1764943200,6864,6869.75,6863.75,6869.75
1764944100,6869.75,6875.75,6869.25,6875.25
1764945000,6875.25,6886.25,6874,6879.25
1764945900,6879.25,6891.25,6878.75,6889.75
1764946800,6889.75,6903.5,6888,6903.25
1764947700,6903.25,6904,6896.75,6899.75
1764948600,6899.75,6905,6896.75,6898.25
1764949500,6898.25,6902.75,6883.25,6887.5
1764950400,6887.5,6892.25,6881.5,6882
1764951300,6881.75,6888.5,6877.75,6880.5
1764952200,6880.25,6880.5,6870.5,6874.5
1764953100,6874.5,6887.25,6873.5,6880.75
1764954000,6880.75,6883.5,6873.25,6874
1764954900,6874,6877.75,6873.25,6874.5
1764955800,6874.75,6876,6866.5,6873.25
1764956700,6873.25,6885,6871.25,6883.5
1764957600,6883.25,6888,6883,6883.5
1764958500,6883.75,6887.5,6875.75,6886.25
1764959400,6886.25,6890.5,6881.5,6884.75
1764960300,6884.75,6886.5,6881.75,6882.5
1764961200,6882.75,6885,6879,6884.25
1764962100,6884.5,6884.5,6877.25,6880.25
1764963000,6880.25,6882,6876.25,6878.25
1764963900,6878.25,6884.5,6876.5,6883.25
1764964800,6883.25,6883.75,6876.5,6880.5
1764965700,6880.5,6883.5,6878.25,6881
1764966600,6880.75,6880.75,6875.75,6879.25
1764967500,6879.5,6880.75,6866.75,6876.75
1764968400,6876.75,6881.5,6876.25,6880.25
1764969300,6880.5,6881.75,6879.75,6880.25
1764970200,6880.25,6881.25,6880,6880.25
1764971100,6880.25,6881.5,6879.25,6879.5
1765148400,6883,6886.25,6877.25,6878.5
1765149300,6878.5,6882.75,6877.75,6881.75
1765150200,6881.5,6883.5,6880.5,6881.75
1765151100,6881.5,6882.75,6880.5,6881
1765152000,6881.25,6881.25,6872.75,6874.75
1765152900,6874.75,6878.75,6874.25,6878
1765153800,6878,6879.75,6877,6879.25
1765154700,6879.25,6882,6878.5,6881
1765155600,6881,6884.25,6880.5,6880.75
1765156500,6880.75,6882.25,6880,6880.5
1765157400,6880.5,6884,6880.5,6883
1765158300,6883,6884.25,6882.75,6883.5
1765159200,6883.5,6884.5,6882.5,6884
1765160100,6884.25,6886.5,6884,6885.75
