time,open,high,low,close
1765332900,47611,47622,47609,47614
1765333800,47610,47616,47600,47600
1765334700,47600,47609,47596,47602
1765335600,47601,47613,47601,47608
1765336500,47607,47610,47603,47604
1765337400,47602,47607,47596,47603
1765338300,47602,47614,47598,47612
1765339200,47614,47635,47614,47635
1765340100,47633,47633,47622,47631
1765341000,47629,47653,47629,47630
1765341900,47631,47639,47629,47638
1765342800,47638,47638,47608,47608
1765343700,47610,47621,47610,47615
1765344600,47614,47624,47611,47615
1765345500,47619,47623,47618,47621
1765346400,47622,47642,47622,47639
1765347300,47635,47640,47628,47632
1765348200,47633,47638,47623,47625
1765349100,47625,47631,47618,47628
1765350000,47627,47631,47617,47629
1765350900,47627,47631,47624,47628
1765351800,47626,47639,47626,47637
1765352700,47640,47641,47611,47622
1765353600,47622,47651,47617,47637
1765354500,47635,47655,47630,47634
1765355400,47633,47643,47615,47619
1765356300,47621,47630,47606,47626
1765357200,47627,47646,47619,47622
1765358100,47621,47622,47597,47610
1765359000,47611,47623,47605,47618
1765359900,47620,47633,47618,47618
1765360800,47616,47640,47602,47617
1765361700,47616,47625,47538,47540
1765362600,47541,47567,47523,47561
1765363500,47557,47578,47549,47556
1765364400,47552,47604,47552,47584
1765365300,47583,47594,47577,47590
1765366200,47585,47592,47575,47575
1765367100,47576,47590,47572,47578
1765368000,47580,47591,47565,47578
1765368900,47581,47583,47564,47581
1765369800,47578,47583,47565,47572
1765370700,47576,47587,47568,47584
1765371600,47584,47602,47568,47598
1765372500,47599,47662,47596,47655
1765373400,47655,47664,47617,47629
1765374300,47627,47629,47605,47605
1765375200,47605,47611,47577,47581
1765376100,47581,47595,47553,47581
1765377000,47581,47654,47504,47600
1765377900,47599,47727,47593,47705
1765378800,47703,47760,47681,47738
1765379700,47737,47769,47711,47727
1765380600,47729,47738,47649,47725
1765381500,47726,47796,47713,47734
1765382400,47736,47825,47680,47821
1765383300,47822,47869,47808,47849
1765384200,47848,47865,47821,47832
1765385100,47832,47861,47815,47845
1765386000,47842,47845,47791,47815
1765386900,47814,47836,47800,47806
1765387800,47803,47811,47757,47766
1765388700,47769,47845,47764,47822
1765389600,47822,47859,47817,47842
1765390500,47838,47848,47782,47796
1765391400,47795,47816,47743,47743
1765392300,47742,47786,47736,47786
1765393200,47782,47966,47771,47890
1765394100,47892,47949,47797,47867
1765395000,47868,48084,47837,47920
1765395900,47914,48160,47913,48149
1765396800,48148,48219,48087,48195
1765397700,48201,48242,48144,48178
1765398600,48178,48245,48170,48197
1765399500,48194,48221,48094,48106
1765400400,48106,48152,48105,48148
1765401300,48149,48157,48130,48152
1765402200,48151,48156,48134,48155
1765403100,48155,48164,48140,48157
1765407600,48149,48176,48145,48163
1765408500,48163,48163,48144,48154
1765409400,48149,48156,48144,48147
1765410300,48145,48157,48141,48151
1765411200,48149,48155,48129,48144
1765412100,48143,48149,48129,48141
1765413000,48141,48141,48120,48127
1765413900,48125,48126,48103,48106
1765414800,48105,48119,48100,48107
1765415700,48105,48116,48101,48109
1765416600,48109,48117,48103,48103
1765417500,48104,48105,48087,48090
1765418400,48090,48090,48060,48067
1765419300,48068,48074,48042,48048
1765420200,48047,48051,48026,48045
1765421100,48042,48046,48008,48020
1765422000,48023,48024,47859,47913
1765422900,47916,47928,47898,47918
1765423800,47914,47918,47879,47916
1765424700,47911,47932,47904,47917
1765425600,47916,47936,47904,47921
1765426500,47921,47929,47905,47909
1765427400,47914,47923,47896,47915
1765428300,47915,47925,47905,47913
1765429200,47913,47924,47887,47887
1765430100,47888,47895,47873,47876
1765431000,47874,47889,47868,47870
1765431900,47871,47904,47868,47897
1765432800,47900,47907,47885,47895
1765433700,47895,47895,47865,47875
1765434600,47876,47913,47876,47913
1765435500,47913,47925,47900,47917
1765436400,47918,47921,47874,47913
1765437300,47912,47930,47902,47925
1765438200,47933,47949,47925,47927
1765439100,47929,47944,47922,47932
1765440000,47931,47937,47877,47889
1765440900,47891,47919,47879,47889
1765441800,47885,47916,47875,47900
1765442700,47894,47965,47893,47961
1765443600,47960,47973,47943,47951
1765444500,47953,47988,47948,47956
1765445400,47957,48000,47955,47970
1765446300,47970,48001,47970,48001
