time,open,high,low,close
2025-10-16T22:45:00-04:00,46060,46072,46051,46059
2025-10-16T23:00:00-04:00,46058,46064,46040,46049
2025-10-16T23:15:00-04:00,46046,46073,46043,46061
2025-10-16T23:30:00-04:00,46065,46076,46024,46027
2025-10-16T23:45:00-04:00,46030,46045,46001,46041
2025-10-17T00:00:00-04:00,46042,46051,46023,46031
2025-10-17T00:15:00-04:00,46028,46032,46008,46015
2025-10-17T00:30:00-04:00,46016,46025,46007,46007
2025-10-17T00:45:00-04:00,46008,46013,45994,46001
2025-10-17T01:00:00-04:00,46003,46007,45961,45961
2025-10-17T01:15:00-04:00,45960,45982,45943,45976
2025-10-17T01:30:00-04:00,45978,45983,45917,45927
2025-10-17T01:45:00-04:00,45929,45983,45929,45965
2025-10-17T02:00:00-04:00,45967,45997,45956,45968
2025-10-17T02:15:00-04:00,45970,45973,45930,45944
2025-10-17T02:30:00-04:00,45944,45956,45880,45907
2025-10-17T02:45:00-04:00,45908,45921,45862,45877
2025-10-17T03:00:00-04:00,45877,45887,45722,45736
2025-10-17T03:15:00-04:00,45737,45769,45656,45698
2025-10-17T03:30:00-04:00,45697,45712,45605,45672
2025-10-17T03:45:00-04:00,45674,45743,45657,45713
2025-10-17T04:00:00-04:00,45714,45736,45646,45658
2025-10-17T04:15:00-04:00,45657,45738,45637,45734
2025-10-17T04:30:00-04:00,45734,45795,45722,45742
2025-10-17T04:45:00-04:00,45744,45777,45733,45758
2025-10-17T05:00:00-04:00,45754,45809,45747,45802
2025-10-17T05:15:00-04:00,45804,45878,45797,45849
2025-10-17T05:30:00-04:00,45849,45874,45785,45805
2025-10-17T05:45:00-04:00,45799,45814,45771,45777
2025-10-17T06:00:00-04:00,45778,45837,45776,45794
2025-10-17T06:15:00-04:00,45796,45804,45766,45777
2025-10-17T06:30:00-04:00,45779,45872,45779,45865
2025-10-17T06:45:00-04:00,45864,45908,45827,45906
2025-10-17T07:00:00-04:00,45906,46185,45898,46175
2025-10-17T07:15:00-04:00,46174,46187,46078,46103
2025-10-17T07:30:00-04:00,46102,46131,46062,46107
2025-10-17T07:45:00-04:00,46106,46136,46061,46136
2025-10-17T08:00:00-04:00,46134,46217,46104,46187
2025-10-17T08:15:00-04:00,46185,46268,46172,46225
2025-10-17T08:30:00-04:00,46226,46261,46183,46221
2025-10-17T08:45:00-04:00,46222,46234,46171,46184
2025-10-17T09:00:00-04:00,46183,46234,46163,46187
2025-10-17T09:15:00-04:00,46189,46235,46127,46133
2025-10-17T09:30:00-04:00,46132,46321,46115,46176
2025-10-17T09:45:00-04:00,46177,46392,46144,46250
2025-10-17T10:00:00-04:00,46249,46390,46177,46379
2025-10-17T10:15:00-04:00,46380,46418,46243,46280
2025-10-17T10:30:00-04:00,46281,46292,46167,46197
2025-10-17T10:45:00-04:00,46196,46287,46143,46150
2025-10-17T11:00:00-04:00,46150,46282,46106,46108
2025-10-17T11:15:00-04:00,46108,46178,46096,46169
2025-10-17T11:30:00-04:00,46173,46250,46103,46236
2025-10-17T11:45:00-04:00,46234,46358,46219,46323
2025-10-17T12:00:00-04:00,46325,46411,46319,46375
2025-10-17T12:15:00-04:00,46378,46417,46333,46358
2025-10-17T12:30:00-04:00,46358,46387,46293,46318
2025-10-17T12:45:00-04:00,46315,46370,46236,46283
2025-10-17T13:00:00-04:00,46280,46296,46230,46262
2025-10-17T13:15:00-04:00,46266,46277,46203,46241
2025-10-17T13:30:00-04:00,46238,46319,46223,46231
2025-10-17T13:45:00-04:00,46234,46348,46210,46333
2025-10-17T14:00:00-04:00,46333,46426,46333,46391
2025-10-17T14:15:00-04:00,46393,46474,46392,46441
2025-10-17T14:30:00-04:00,46444,46464,46414,46429
2025-10-17T14:45:00-04:00,46429,46472,46428,46450
2025-10-17T15:00:00-04:00,46449,46500,46441,46483
2025-10-17T15:15:00-04:00,46481,46518,46454,46470
2025-10-17T15:30:00-04:00,46471,46472,46416,46438
2025-10-17T15:45:00-04:00,46437,46448,46373,46383
2025-10-17T16:00:00-04:00,46384,46443,46376,46434
2025-10-17T16:15:00-04:00,46432,46445,46421,46425
2025-10-17T16:30:00-04:00,46427,46436,46420,46425
2025-10-17T16:45:00-04:00,46426,46436,46418,46429
2025-10-19T18:00:00-04:00,46489,46511,46457,46483
2025-10-19T18:15:00-04:00,46476,46476,46443,46459
2025-10-19T18:30:00-04:00,46464,46464,46444,46459
2025-10-19T18:45:00-04:00,46461,46465,46454,46458
2025-10-19T19:00:00-04:00,46461,46461,46430,46435
2025-10-19T19:15:00-04:00,46434,46443,46378,46380
2025-10-19T19:30:00-04:00,46378,46407,46376,46376
2025-10-19T19:45:00-04:00,46372,46393,46370,46388
2025-10-19T20:00:00-04:00,46387,46388,46336,46342
2025-10-19T20:15:00-04:00,46344,46361,46316,46342
2025-10-19T20:30:00-04:00,46346,46402,46335,46402
2025-10-19T20:45:00-04:00,46400,46447,46398,46438
2025-10-19T21:00:00-04:00,46436,46460,46427,46446
2025-10-19T21:15:00-04:00,46443,46477,46443,46459
2025-10-19T21:30:00-04:00,46457,46459,46432,46457
2025-10-19T21:45:00-04:00,46456,46456,46413,46431
2025-10-19T22:00:00-04:00,46431,46442,46413,46420
2025-10-19T22:15:00-04:00,46422,46436,46411,46428
2025-10-19T22:30:00-04:00,46423,46444,46422,46435
2025-10-19T22:45:00-04:00,46437,46452,46435,46447
2025-10-19T23:00:00-04:00,46447,46455,46442,46453
2025-10-19T23:15:00-04:00,46453,46458,46447,46451
2025-10-19T23:30:00-04:00,46452,46465,46446,46464
2025-10-19T23:45:00-04:00,46465,46495,46465,46484
2025-10-20T00:00:00-04:00,46485,46505,46478,46490
2025-10-20T00:15:00-04:00,46492,46508,46481,46501
2025-10-20T00:30:00-04:00,46500,46508,46478,46495
2025-10-20T00:45:00-04:00,46496,46510,46490,46509
2025-10-20T01:00:00-04:00,46508,46515,46505,46509
2025-10-20T01:15:00-04:00,46509,46519,46487,46508
2025-10-20T01:30:00-04:00,46511,46532,46498,46531
2025-10-20T01:45:00-04:00,46529,46542,46513,46530
2025-10-20T02:00:00-04:00,46528,46529,46497,46506
2025-10-20T02:15:00-04:00,46505,46534,46503,46521
2025-10-20T02:30:00-04:00,46522,46549,46522,46538
2025-10-20T02:45:00-04:00,46537,46550,46511,46532
2025-10-20T03:00:00-04:00,46531,46560,46515,46538
2025-10-20T03:15:00-04:00,46542,46566,46539,46562
2025-10-20T03:30:00-04:00,46562,46582,46553,46561
2025-10-20T03:45:00-04:00,46560,46568,46535,46541
2025-10-20T04:00:00-04:00,46543,46543,46504,46513
2025-10-20T04:15:00-04:00,46512,46521,46494,46505
2025-10-20T04:30:00-04:00,46505,46516,46486,46486
