time,open,high,low,close,Plot
1764882900,25632.5,25637.75,25631.75,25633.5,NaN
1764883800,25633,25634.75,25627.25,25629,NaN
1764884700,25629,25632.75,25624.75,25632.5,NaN
1764889200,25629.75,25648.75,25627,25631.5,NaN
1764890100,25632.25,25635.5,25628.5,25631.75,NaN
1764891000,25633,25634.5,25612.5,25618.25,NaN
1764891900,25617.25,25626.5,25608.5,25621,NaN
1764892800,25620.75,25629,25611,25617,NaN
1764893700,25618,25645,25616.75,25639.5,NaN
1764894600,25638.75,25657.5,25635,25648.75,NaN
1764895500,25648.25,25654.75,25642.5,25654,NaN
1764896400,25654,25672,25652.5,25663.25,NaN
1764897300,25663.5,25672,25660,25668.25,NaN
1764898200,25667,25681.5,25664.25,25676.5,NaN
1764899100,25675.5,25684,25674.5,25682,NaN
1764900000,25681.75,25692,25679,25692,NaN
1764900900,25692,25713.25,25688.75,25711.25,NaN
1764901800,25711,25711.25,25693.75,25696.25,NaN
1764902700,25695.75,25697.5,25682.25,25689.5,NaN
1764903600,25689.75,25695.5,25683.25,25687.75,NaN
1764904500,25687,25700.25,25687,25693,NaN
1764905400,25693.25,25696.75,25683.75,25692.75,NaN
1764906300,25691.5,25707,25690,25701,NaN
1764907200,25700.25,25717.25,25697.75,25712.5,NaN
1764908100,25712,25714.25,25696.75,25706.75,NaN
1764909000,25706.5,25712.5,25702.75,25703.25,NaN
1764909900,25703,25714.75,25699.75,25712.5,NaN
1764910800,25712,25721.5,25711.5,25715.5,NaN
1764911700,25715,25719.5,25712,25713.75,NaN
1764912600,25713.5,25721,25708,25719.75,NaN
1764913500,25720,25724.25,25715.25,25723.5,NaN
1764914400,25723.75,25730,25720.75,25724.25,NaN
1764915300,25724.25,25729.75,25717.5,25720.5,NaN
1764916200,25722,25724,25702.25,25717.5,NaN
1764917100,25717.5,25720.5,25709.25,25713,NaN
1764918000,25712,25729.25,25704,25714.25,NaN
1764918900,25713.5,25727.75,25710,25724.25,NaN
1764919800,25724,25728.75,25715.5,25718.5,NaN
1764920700,25718.25,25728.75,25715,25725,NaN
1764921600,25725.5,25745.25,25721.5,25735.25,NaN
1764922500,25734,25755.75,25729.75,25737.25,NaN
1764923400,25737.5,25748.25,25734.75,25746.5,NaN
1764924300,25746,25747,25723.75,25725.75,NaN
1764925200,25724.25,25736.25,25712,25717.25,NaN
1764926100,25716.5,25729,25713.5,25728,NaN
1764927000,25728.5,25728.75,25706.25,25711,NaN
1764927900,25711.5,25720.25,25711.25,25718.5,NaN
1764928800,25717.5,25736.75,25712.5,25722.25,NaN
1764929700,25723,25727.5,25719,25726,NaN
1764930600,25726,25731.5,25720.75,25731.5,NaN
1764931500,25729.75,25730,25713.25,25715.75,NaN
1764932400,25716,25724.75,25704.25,25720.25,NaN
1764933300,25721.25,25727.25,25710.5,25722.75,NaN
1764934200,25722.5,25725.5,25715,25718.25,NaN
1764935100,25718.75,25722.5,25716,25719,NaN
1764936000,25720.25,25736,25712.75,25712.75,NaN
1764936900,25713.25,25717.5,25688.5,25710.75,NaN
1764937800,25710.5,25717.5,25705,25705,NaN
1764938700,25705,25708.75,25693.25,25703.25,NaN
1764939600,25703,25710,25700.25,25704.25,NaN
1764940500,25704.5,25705,25676.25,25687,NaN
1764941400,25686,25689,25606.5,25614.5,NaN
1764942300,25614.75,25626.5,25579.75,25614.25,NaN
1764943200,25613.75,25652.75,25611.5,25652.25,NaN
1764944100,25652,25684.5,25642,25680.25,NaN
1764945000,25680,25777.25,25673.5,25708.5,NaN
1764945900,25709.25,25803.25,25707,25791.25,NaN
1764946800,25791.25,25861.25,25765.25,25858.25,NaN
1764947700,25858.25,25868,25827.5,25837.5,NaN
1764948600,25836.75,25861.25,25808.5,25820,NaN
1764949500,25819.5,25832.5,25716.25,25743,NaN
1764950400,25743,25767,25706.5,25707,NaN
1764951300,25706.5,25741,25683.25,25697.75,NaN
1764952200,25698,25704.5,25651.25,25690.25,NaN
1764953100,25690,25761.5,25679,25730.25,NaN
1764954000,25729.5,25738.25,25692.25,25696.25,NaN
1764954900,25695.5,25711.25,25688.75,25695,NaN
1764955800,25695,25700.25,25664.75,25694.75,NaN
1764956700,25694.25,25740.75,25687.25,25730.5,NaN
1764957600,25729.75,25739,25718.25,25725,NaN
1764958500,25725.25,25747.25,25700,25744,NaN
1764959400,25744,25758.5,25723.25,25735.25,NaN
1764960300,25735,25740.5,25720.25,25726.75,NaN
1764961200,25727.75,25740.75,25714.25,25738.5,NaN
1764962100,25738.5,25741.25,25706.75,25722.25,NaN
1764963000,25722.75,25729.25,25706,25712.25,NaN
1764963900,25712,25743.75,25702.5,25737.5,NaN
1764964800,25737.75,25740.25,25711.5,25724.75,NaN
1764965700,25724,25739.75,25714.75,25725.5,NaN
1764966600,25725.75,25728,25707.5,25722.25,NaN
1764967500,25721.75,25740,25677.75,25725.75,NaN
1764968400,25725.75,25743.75,25723.25,25733.5,NaN
1764969300,25734,25738.25,25729.75,25732.25,NaN
1764970200,25732.25,25740,25730.25,25736,NaN
1764971100,25736.25,25740,25732.5,25735,NaN
1765148400,25750,25770,25719.5,25729.75,NaN
1765149300,25728.25,25754.5,25725,25746.25,NaN
1765150200,25746,25756.5,25740,25748.25,NaN
1765151100,25746.25,25753.25,25742.75,25746.5,NaN
1765152000,25746.25,25747,25700.25,25714,NaN
1765152900,25712.75,25735.25,25710.25,25732.25,NaN
1765153800,25731.5,25740.75,25725.5,25737.5,NaN
1765154700,25736.25,25750.25,25733,25747.25,NaN
1765155600,25746.25,25765,25743,25747.5,NaN
1765156500,25746.5,25755.75,25743,25749.25,NaN
1765157400,25751.5,25769.5,25750.75,25763.5,NaN
1765158300,25764,25772,25762,25768.25,NaN
